epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4501,1.45419,3.39456,1.5085,0.00742,0.54036,0.31147,0.24636,0.88617,3.04578,1.10551,0.0032,0.0032,0.0032
2,36.9937,1.22075,1.86449,1.34226,0.98504,0.23094,0.39551,0.26281,1.09187,2.73701,1.28494,0.00649357,0.00649357,0.00649357
3,45.2097,1.26303,1.62309,1.36237,0.37866,0.30342,0.19786,0.06995,2.22771,3.48466,2.98396,0.0097806,0.0097806,0.0097806
4,56.4829,1.35346,1.54192,1.40005,0.35258,0.40651,0.35878,0.20847,1.39452,6.50165,2.00603,0.0099703,0.0099703,0.0099703
5,80.8428,1.34138,1.43027,1.38262,0.09511,0.29113,0.09932,0.04858,1.83704,inf,2.20541,0.0099604,0.0099604,0.0099604
6,97.8359,1.33207,1.37141,1.39165,0.46223,0.55863,0.53119,0.31592,1.19624,2.43747,1.50088,0.0099505,0.0099505,0.0099505
7,115.19,1.30752,1.27382,1.36685,0.44051,0.39731,0.35871,0.1952,1.57857,3.08825,1.81443,0.0099406,0.0099406,0.0099406
8,134.417,1.27885,1.21159,1.35285,0.36391,0.54694,0.4128,0.22877,1.28149,2.31401,1.46852,0.0099307,0.0099307,0.0099307
9,152.637,1.24923,1.14705,1.33957,0.61408,0.59628,0.62791,0.38725,1.09083,1.33821,1.34172,0.0099208,0.0099208,0.0099208
10,170.644,1.24891,1.14231,1.32974,0.5194,0.56158,0.56284,0.35271,1.17655,1.50847,1.38983,0.0099109,0.0099109,0.0099109
11,177.451,1.24761,1.1119,1.32394,0.50776,0.52636,0.50342,0.31756,1.14512,1.31966,1.37917,0.009901,0.009901,0.009901
12,185.313,1.19187,1.0433,1.30158,0.54102,0.49629,0.47057,0.29951,1.2035,1.45888,1.4064,0.0098911,0.0098911,0.0098911
13,193.613,1.22083,1.07944,1.30965,0.6535,0.66207,0.67468,0.42913,1.04756,1.04471,1.25106,0.0098812,0.0098812,0.0098812
14,211.997,1.20569,1.02229,1.30786,0.69402,0.6406,0.68012,0.43874,1.03955,0.90802,1.2525,0.0098713,0.0098713,0.0098713
15,230.265,1.20666,1.04851,1.30863,0.47332,0.50521,0.43774,0.26043,1.23086,2.2681,1.39327,0.0098614,0.0098614,0.0098614
16,248.213,1.1901,1.00742,1.29395,0.54159,0.66698,0.61198,0.39659,1.04709,0.99065,1.26332,0.0098515,0.0098515,0.0098515
17,266.17,1.17704,1.0025,1.28417,0.5978,0.63661,0.64217,0.42492,1.00799,0.88887,1.2137,0.0098416,0.0098416,0.0098416
18,285.361,1.17403,0.97579,1.27333,0.55863,0.58585,0.56513,0.37446,1.01706,0.93654,1.2373,0.0098317,0.0098317,0.0098317
19,303.436,1.18089,0.99443,1.29073,0.67109,0.6854,0.68904,0.45946,0.97087,0.8392,1.19267,0.0098218,0.0098218,0.0098218
20,316.145,1.186,0.97838,1.27665,0.66073,0.6903,0.69215,0.43942,0.98175,0.91942,1.19476,0.0098119,0.0098119,0.0098119
21,324.353,1.17924,0.98619,1.27714,0.69873,0.71825,0.72664,0.48572,0.94435,0.77863,1.17862,0.009802,0.009802,0.009802
22,332.258,1.15299,0.95483,1.27127,0.68985,0.70688,0.71817,0.4817,0.91747,0.75099,1.1615,0.0097921,0.0097921,0.0097921
