epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8135,1.08863,3.87493,1.37111,0.01005,0.90749,0.17311,0.14421,0.62524,3.36651,0.96946,0.000202381,0.000202381,0.000202381
2,39.1651,0.79842,2.49192,1.17602,0.81526,0.13378,0.3611,0.30236,0.62306,2.80143,0.99969,0.000408681,0.000408681,0.000408681
3,53.7598,0.74094,1.74593,1.13788,0.54483,0.37679,0.37362,0.27418,0.79001,1.93853,1.15981,0.000612919,0.000612919,0.000612919
4,68.315,0.71962,1.50898,1.12299,0.46072,0.49167,0.52406,0.42863,0.65084,1.66573,1.04104,0.000615719,0.000615719,0.000615719
5,82.868,0.68783,1.33958,1.10104,0.62069,0.61134,0.66059,0.54844,0.58437,1.26039,0.98468,0.000612625,0.000612625,0.000612625
6,97.4414,0.68673,1.22413,1.09674,0.60144,0.67086,0.67655,0.56978,0.51623,1.31089,0.9768,0.000609531,0.000609531,0.000609531
7,111.96,0.66369,1.13177,1.08348,0.62499,0.60771,0.63827,0.55047,0.4927,1.22757,0.93316,0.000606437,0.000606437,0.000606437
8,126.36,0.66169,1.05407,1.08154,0.70449,0.67335,0.75043,0.64002,0.53621,1.01078,0.98524,0.000603344,0.000603344,0.000603344
9,140.7,0.6454,0.9855,1.07107,0.87183,0.72635,0.83283,0.72005,0.47014,0.70756,0.90998,0.00060025,0.00060025,0.00060025
10,155.056,0.65282,0.94297,1.07668,0.75979,0.70731,0.79279,0.68969,0.48458,0.84906,0.93955,0.000597156,0.000597156,0.000597156
11,169.363,0.62141,0.90356,1.06427,0.78193,0.73725,0.82567,0.72665,0.48215,0.70645,0.91311,0.000594062,0.000594062,0.000594062
12,183.65,0.62028,0.85759,1.05787,0.73337,0.67438,0.74256,0.64974,0.46447,0.82044,0.90704,0.000590969,0.000590969,0.000590969
13,198.001,0.61534,0.83633,1.05605,0.75243,0.72192,0.77597,0.67308,0.42921,0.82307,0.89372,0.000587875,0.000587875,0.000587875
14,212.197,0.61479,0.8034,1.05711,0.77124,0.73279,0.83109,0.74121,0.43466,0.60235,0.89592,0.000584781,0.000584781,0.000584781
15,226.45,0.60885,0.7753,1.05037,0.77737,0.7306,0.80453,0.7178,0.42135,0.66289,0.91837,0.000581687,0.000581687,0.000581687
16,240.848,0.59688,0.75757,1.04132,0.78871,0.7094,0.77816,0.68665,0.46982,0.78072,0.94451,0.000578594,0.000578594,0.000578594
17,255.091,0.60137,0.73353,1.05491,0.83541,0.82576,0.88682,0.79312,0.40624,0.59908,0.89065,0.0005755,0.0005755,0.0005755
18,269.356,0.58595,0.72118,1.03669,0.84282,0.75845,0.86514,0.76316,0.46688,0.57395,0.92174,0.000572406,0.000572406,0.000572406
19,283.584,0.59395,0.70734,1.04194,0.80994,0.73555,0.8562,0.76119,0.41818,0.66794,0.89336,0.000569313,0.000569313,0.000569313
20,297.877,0.58479,0.69433,1.03857,0.84158,0.71477,0.84982,0.75985,0.41379,0.61221,0.911,0.000566219,0.000566219,0.000566219
21,312.098,0.58053,0.68497,1.0327,0.85068,0.78554,0.86842,0.77883,0.45489,0.58999,0.94268,0.000563125,0.000563125,0.000563125
22,326.465,0.58032,0.65973,1.03461,0.83343,0.83197,0.89646,0.8013,0.50519,0.55177,0.96377,0.000560031,0.000560031,0.000560031
23,340.702,0.57384,0.65985,1.03194,0.87869,0.79869,0.87747,0.79308,0.44454,0.63678,0.92534,0.000556938,0.000556938,0.000556938
24,354.829,0.57697,0.64467,1.02993,0.8533,0.76392,0.86319,0.77066,0.45587,0.55382,0.91529,0.000553844,0.000553844,0.000553844
25,368.939,0.56555,0.64154,1.02873,0.83871,0.72405,0.8344,0.75037,0.42549,0.60516,0.903,0.00055075,0.00055075,0.00055075
26,383.093,0.56685,0.62957,1.02968,0.89171,0.77586,0.89054,0.79852,0.40638,0.51154,0.88073,0.000547656,0.000547656,0.000547656
27,397.332,0.56025,0.61876,1.02578,0.89967,0.70879,0.83717,0.75908,0.43807,0.73099,0.94143,0.000544563,0.000544563,0.000544563
28,411.486,0.5539,0.61053,1.02316,0.83887,0.78834,0.8708,0.78637,0.41724,0.51534,0.89057,0.000541469,0.000541469,0.000541469
29,425.647,0.5519,0.60089,1.02003,0.89959,0.77686,0.88063,0.79579,0.41717,0.5294,0.89531,0.000538375,0.000538375,0.000538375
