epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,609.211,0.59208,0.64767,1.04539,0.89836,0.81857,0.90235,0.82124,0.41577,0.44679,0.88985,0.0095941,0.0095941,0.0095941
43,623.189,0.58536,0.62991,1.04225,0.90342,0.79532,0.8893,0.79262,0.40171,0.44867,0.89739,0.0095842,0.0095842,0.0095842
44,637.064,0.58278,0.6239,1.04097,0.90091,0.81302,0.89594,0.81841,0.40629,0.48392,0.90408,0.0095743,0.0095743,0.0095743
45,650.97,0.58189,0.62628,1.04207,0.9017,0.76697,0.87509,0.79331,0.39215,0.51977,0.90597,0.0095644,0.0095644,0.0095644
46,664.94,0.57957,0.6258,1.03524,0.82311,0.65406,0.75862,0.67096,0.45493,0.80666,0.93992,0.0095545,0.0095545,0.0095545
47,678.865,0.5894,0.62264,1.04169,0.91714,0.78795,0.86985,0.79265,0.39546,0.45037,0.88164,0.0095446,0.0095446,0.0095446
48,692.921,0.5804,0.63074,1.03457,0.8864,0.74067,0.86803,0.78711,0.39143,0.50741,0.89194,0.0095347,0.0095347,0.0095347
49,706.758,0.58206,0.62469,1.04175,0.83462,0.78501,0.85113,0.76744,0.37254,0.47951,0.88065,0.0095248,0.0095248,0.0095248
50,720.687,0.57732,0.60895,1.03759,0.85041,0.78705,0.87088,0.78165,0.41873,0.4998,0.914,0.0095149,0.0095149,0.0095149
51,734.504,0.57831,0.61433,1.03532,0.85621,0.81495,0.88382,0.80312,0.38491,0.46365,0.8939,0.009505,0.009505,0.009505
52,748.327,0.57755,0.59329,1.03286,0.86507,0.82422,0.88983,0.80096,0.3843,0.46871,0.88982,0.0094951,0.0094951,0.0094951
53,762.199,0.57901,0.60775,1.03855,0.86564,0.75394,0.86561,0.78852,0.39127,0.51328,0.88009,0.0094852,0.0094852,0.0094852
54,776.064,0.57033,0.61285,1.03528,0.85247,0.7721,0.86467,0.79032,0.38989,0.52444,0.88872,0.0094753,0.0094753,0.0094753
55,789.931,0.58004,0.60356,1.039,0.87153,0.76278,0.86523,0.76637,0.46338,0.55634,0.92706,0.0094654,0.0094654,0.0094654
56,803.807,0.57391,0.60153,1.02943,0.88919,0.76478,0.85059,0.76701,0.40632,0.59348,0.90592,0.0094555,0.0094555,0.0094555
57,817.686,0.57182,0.59736,1.03407,0.84538,0.83296,0.89151,0.81071,0.37575,0.50056,0.88521,0.0094456,0.0094456,0.0094456
58,831.54,0.5706,0.58878,1.03351,0.88664,0.84071,0.91032,0.84202,0.37057,0.39069,0.87064,0.0094357,0.0094357,0.0094357
59,845.456,0.56852,0.58519,1.02784,0.86881,0.77524,0.87979,0.80343,0.4107,0.49878,0.88846,0.0094258,0.0094258,0.0094258
60,859.263,0.55859,0.57538,1.03035,0.87055,0.80366,0.88158,0.79462,0.40761,0.74481,0.91907,0.0094159,0.0094159,0.0094159
61,873.108,0.56199,0.57318,1.02908,0.86337,0.7876,0.86894,0.79326,0.37363,0.51595,0.87928,0.009406,0.009406,0.009406
62,887.02,0.55801,0.57689,1.02465,0.90971,0.80703,0.89887,0.81816,0.4419,0.50861,0.92362,0.0093961,0.0093961,0.0093961
63,900.859,0.5671,0.5901,1.02779,0.90963,0.83737,0.91622,0.82883,0.38747,0.41755,0.88091,0.0093862,0.0093862,0.0093862
64,914.739,0.55681,0.57221,1.02614,0.84408,0.83318,0.90577,0.81616,0.39754,0.46479,0.89061,0.0093763,0.0093763,0.0093763
65,928.733,0.55978,0.56835,1.02702,0.92174,0.81486,0.91429,0.83116,0.39072,0.46366,0.88806,0.0093664,0.0093664,0.0093664
66,942.68,0.56181,0.56513,1.02692,0.8454,0.77903,0.85734,0.78139,0.39044,0.49957,0.87641,0.0093565,0.0093565,0.0093565
67,956.582,0.55844,0.57708,1.02385,0.91235,0.82961,0.9092,0.8307,0.44282,0.40746,0.95082,0.0093466,0.0093466,0.0093466
68,970.457,0.56598,0.56598,1.02706,0.88252,0.84638,0.92713,0.8503,0.44157,0.46463,0.94532,0.0093367,0.0093367,0.0093367
69,984.376,0.55971,0.56365,1.02256,0.86046,0.8258,0.90301,0.82528,0.42454,0.44188,0.90845,0.0093268,0.0093268,0.0093268
70,998.329,0.56501,0.56129,1.02928,0.78024,0.79081,0.83436,0.7411,0.40552,0.56531,0.90493,0.0093169,0.0093169,0.0093169
71,1012.26,0.5516,0.55348,1.02337,0.88396,0.82082,0.90947,0.83436,0.37209,0.41266,0.87174,0.009307,0.009307,0.009307
72,1026.14,0.55275,0.56245,1.02604,0.88136,0.74996,0.85562,0.78086,0.39302,0.47624,0.8948,0.0092971,0.0092971,0.0092971
73,1039.88,0.55162,0.56558,1.02562,0.84282,0.8659,0.9058,0.83419,0.37752,0.41041,0.87918,0.0092872,0.0092872,0.0092872
74,1053.72,0.55725,0.55225,1.02816,0.87581,0.84936,0.9189,0.84201,0.37201,0.42089,0.89595,0.0092773,0.0092773,0.0092773
75,1067.65,0.55304,0.55396,1.02467,0.90539,0.8271,0.91977,0.84602,0.41581,0.39406,0.93325,0.0092674,0.0092674,0.0092674
76,1081.61,0.55145,0.5507,1.0183,0.87399,0.79112,0.87877,0.80726,0.37222,0.4983,0.87644,0.0092575,0.0092575,0.0092575
77,1095.6,0.54683,0.54048,1.01858,0.88811,0.85319,0.92091,0.84387,0.39324,0.38774,0.92004,0.0092476,0.0092476,0.0092476
78,1109.52,0.5505,0.55063,1.02191,0.9094,0.82176,0.90735,0.83592,0.43299,0.44447,0.92291,0.0092377,0.0092377,0.0092377
79,1123.44,0.54695,0.54936,1.01734,0.90811,0.80077,0.89457,0.81568,0.45948,0.41614,0.93076,0.0092278,0.0092278,0.0092278
80,1137.27,0.54435,0.54081,1.01822,0.89631,0.84385,0.91413,0.84295,0.35664,0.46569,0.8764,0.0092179,0.0092179,0.0092179
81,1151.18,0.54151,0.53655,1.0139,0.91667,0.84754,0.92353,0.85055,0.37618,0.44499,0.88764,0.009208,0.009208,0.009208
82,1164.99,0.53873,0.52899,1.01331,0.8904,0.84942,0.91387,0.83581,0.37818,0.42328,0.88845,0.0091981,0.0091981,0.0091981
