epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.337,1.67472,2.56291,1.55639,0.51332,0.57571,0.49249,0.22129,1.71891,1.86436,1.47502,0.00331797,0.00331797,0.00331797
2,209.152,1.43199,1.70949,1.3471,0.46661,0.59247,0.48271,0.2289,1.72164,1.81644,1.46772,0.00664472,0.00664472,0.00664472
3,300.232,1.39221,1.47836,1.31495,0.47664,0.51104,0.44248,0.17744,1.96501,1.94699,1.64473,0.00996487,0.00996487,0.00996487
4,388.427,1.3508,1.29485,1.28252,0.54356,0.59663,0.52831,0.24716,1.78537,1.60776,1.52415,0.0099703,0.0099703,0.0099703
5,475.413,1.30206,1.09238,1.25233,0.53862,0.62272,0.53785,0.25177,1.82014,1.48122,1.53768,0.0099604,0.0099604,0.0099604
6,560.801,1.26999,0.99499,1.2216,0.52295,0.5974,0.51837,0.22708,1.85878,1.57866,1.60819,0.0099505,0.0099505,0.0099505
7,646.004,1.24076,0.91955,1.20203,0.56359,0.58166,0.55231,0.2471,1.8207,1.40329,1.60805,0.0099406,0.0099406,0.0099406
8,733.663,1.22974,0.86237,1.2,0.53691,0.56473,0.51309,0.24009,1.78462,1.49857,1.54969,0.0099307,0.0099307,0.0099307
9,818.172,1.18819,0.82485,1.17547,0.54649,0.5652,0.53197,0.24243,1.83341,1.54497,1.62716,0.0099208,0.0099208,0.0099208
10,902.61,1.17951,0.78223,1.17052,0.51957,0.50355,0.45602,0.21054,1.87796,1.81046,1.65584,0.0099109,0.0099109,0.0099109
11,986.428,1.14856,0.75735,1.14518,0.57038,0.61636,0.57706,0.26519,1.94753,1.46046,1.66363,0.009901,0.009901,0.009901
12,1071.1,1.14704,0.74272,1.14524,0.55166,0.55239,0.52756,0.24843,1.88469,1.63377,1.62966,0.0098911,0.0098911,0.0098911
13,1154.93,1.12345,0.70859,1.13793,0.59601,0.59251,0.57688,0.26984,1.9109,1.44722,1.63939,0.0098812,0.0098812,0.0098812
14,1237.88,1.12735,0.71035,1.14044,0.54578,0.55057,0.51819,0.24397,1.92317,1.69152,1.66517,0.0098713,0.0098713,0.0098713
15,1325.36,1.12744,0.69661,1.14752,0.54539,0.51103,0.50877,0.23971,1.87986,1.62593,1.64049,0.0098614,0.0098614,0.0098614
16,1409.99,1.10479,0.67476,1.13091,0.57883,0.54836,0.55247,0.25426,1.8996,1.42713,1.63284,0.0098515,0.0098515,0.0098515
17,1496.14,1.09243,0.66433,1.12521,0.56956,0.54911,0.55722,0.27276,1.86511,1.61259,1.60057,0.0098416,0.0098416,0.0098416
18,1582.27,1.09149,0.65429,1.12825,0.59752,0.55678,0.57251,0.26425,1.85023,1.51089,1.64325,0.0098317,0.0098317,0.0098317
