epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1105.63,1.71039,1.23254,1.14412,0.70056,0.65031,0.67303,0.34075,1.66926,1.21642,1.12516,0.00132868,0.00132868,0.00132868
43,1131.79,1.71951,1.21762,1.14249,0.65616,0.77969,0.69588,0.3913,1.51223,1.12134,1.09867,0.00132043,0.00132043,0.00132043
44,1158.59,1.71616,1.21761,1.14427,0.64905,0.65893,0.67774,0.36559,1.73322,1.26009,1.16344,0.00131218,0.00131218,0.00131218
45,1185,1.72345,1.21483,1.1446,0.68154,0.69376,0.6778,0.34661,1.75544,1.24954,1.18664,0.00130393,0.00130393,0.00130393
46,1212.03,1.68412,1.19401,1.12933,0.64575,0.65799,0.66169,0.33219,1.65082,1.26331,1.12368,0.00129568,0.00129568,0.00129568
47,1238.28,1.69101,1.18703,1.13085,0.63586,0.69766,0.63491,0.32277,1.64459,1.17941,1.1301,0.00128742,0.00128742,0.00128742
48,1264.81,1.69735,1.18531,1.13835,0.66419,0.77759,0.76808,0.45092,1.52123,1.11819,1.0793,0.00127917,0.00127917,0.00127917
49,1291.17,1.67356,1.18436,1.12616,0.67756,0.7901,0.75453,0.42908,1.48232,1.07296,1.0643,0.00127092,0.00127092,0.00127092
50,1317.57,1.67496,1.16497,1.12392,0.69409,0.80323,0.77533,0.4477,1.45454,1.06442,1.05067,0.00126267,0.00126267,0.00126267
51,1344.17,1.67443,1.17352,1.13397,0.70643,0.70393,0.71461,0.39513,1.53168,1.12721,1.08254,0.00125442,0.00125442,0.00125442
52,1370.73,1.67864,1.15928,1.13305,0.7069,0.73622,0.74325,0.43706,1.45401,1.03987,1.05272,0.00124617,0.00124617,0.00124617
53,1397.09,1.67723,1.17087,1.12415,0.69907,0.6974,0.74114,0.43142,1.49152,1.07362,1.07656,0.00123791,0.00123791,0.00123791
54,1423.28,1.6732,1.16121,1.12995,0.67302,0.70109,0.68328,0.3758,1.60715,1.14182,1.10078,0.00122966,0.00122966,0.00122966
55,1449.21,1.65453,1.13719,1.12206,0.60002,0.6667,0.62913,0.36345,1.5476,1.13579,1.09144,0.00122141,0.00122141,0.00122141
56,1474.92,1.65598,1.14205,1.11474,0.65757,0.73506,0.72268,0.41149,1.52081,1.15042,1.079,0.00121316,0.00121316,0.00121316
57,1501.13,1.64966,1.1523,1.12012,0.62081,0.80936,0.70692,0.40792,1.5847,1.06591,1.10524,0.00120491,0.00120491,0.00120491
58,1527.47,1.62738,1.14293,1.11944,0.67177,0.77666,0.71166,0.41371,1.48949,1.07015,1.06577,0.00119666,0.00119666,0.00119666
59,1553.5,1.63417,1.12881,1.1059,0.68083,0.71055,0.71311,0.37311,1.72115,1.18945,1.14016,0.0011884,0.0011884,0.0011884
60,1579.57,1.63432,1.14706,1.11303,0.66533,0.71738,0.63769,0.34119,1.61748,1.13665,1.10922,0.00118015,0.00118015,0.00118015
61,1606.91,1.64424,1.11709,1.11501,0.67516,0.72655,0.70674,0.39985,1.57451,1.11491,1.08703,0.0011719,0.0011719,0.0011719
62,1633.04,1.62445,1.11285,1.11087,0.6431,0.70118,0.65615,0.37378,1.66196,1.16457,1.13379,0.00116365,0.00116365,0.00116365
63,1659.26,1.641,1.11852,1.10834,0.73832,0.70211,0.70796,0.41455,1.45869,1.0365,1.0506,0.0011554,0.0011554,0.0011554
64,1685.78,1.61785,1.1043,1.10562,0.62291,0.71657,0.66322,0.36884,1.64032,1.10329,1.10896,0.00114715,0.00114715,0.00114715
65,1712.61,1.62226,1.10518,1.10947,0.62608,0.66418,0.65889,0.37872,1.61794,1.13343,1.12151,0.00113889,0.00113889,0.00113889
66,1739.31,1.60839,1.10042,1.10711,0.65533,0.71857,0.68658,0.38128,1.76056,1.19342,1.14699,0.00113064,0.00113064,0.00113064
67,1765.31,1.60534,1.09026,1.10424,0.70128,0.78392,0.7321,0.4192,1.60901,1.0595,1.0976,0.00112239,0.00112239,0.00112239
68,1791.84,1.60306,1.09275,1.1026,0.70535,0.68229,0.705,0.40587,1.49462,1.07772,1.06223,0.00111414,0.00111414,0.00111414
69,1818.1,1.61454,1.1021,1.10703,0.68181,0.71082,0.68434,0.36713,1.66159,1.12945,1.09711,0.00110589,0.00110589,0.00110589
70,1844.15,1.60598,1.08517,1.11013,0.72175,0.70082,0.68957,0.36984,1.60272,1.08472,1.10132,0.00109764,0.00109764,0.00109764
71,1870.15,1.59213,1.08742,1.10315,0.69547,0.70078,0.66691,0.38898,1.53979,1.06691,1.0685,0.00108938,0.00108938,0.00108938
72,1896.82,1.59723,1.07199,1.09388,0.71951,0.7209,0.70047,0.39267,1.56409,1.0596,1.08123,0.00108113,0.00108113,0.00108113
73,1922.81,1.58858,1.09324,1.09492,0.69344,0.66584,0.67025,0.38546,1.55236,1.08456,1.07624,0.00107288,0.00107288,0.00107288
74,1948.82,1.58426,1.07079,1.09413,0.63723,0.73131,0.67778,0.34708,1.66788,1.0857,1.11623,0.00106463,0.00106463,0.00106463
75,1975.08,1.56858,1.06275,1.09034,0.69735,0.71591,0.66738,0.35155,1.65165,1.15373,1.11702,0.00105638,0.00105638,0.00105638
76,2001.24,1.56394,1.05408,1.09038,0.73785,0.77628,0.72297,0.41029,1.51667,1.01722,1.06951,0.00104813,0.00104813,0.00104813
77,2027.12,1.585,1.07365,1.09426,0.67679,0.69303,0.67561,0.38389,1.60311,1.05326,1.08704,0.00103987,0.00103987,0.00103987
78,2053.54,1.5607,1.05474,1.08048,0.70708,0.65424,0.66707,0.36285,1.65393,1.14239,1.11773,0.00103162,0.00103162,0.00103162
